state_name,dist_name,area_type,Total,illiterate_males,literate_males,graduate_males,illiterate_females,literate_females,graduate_females,percent_graduate_males,percent_graduate_females,,,,
andaman & nicobar islands ,South Andaman ,Rural,31907,2949,23663,1561,946,4349,382,7,9,,,,
bihar ,Pashchim Champaran ,Rural,713435,242184,311349,17941,119382,40520,1489,6,4,,,,
bihar ,Purba Champaran,Rural,1042494,378438,465129,29560,146935,51992,2523,7,5,,,,
bihar ,Sheohar ,Rural,131421,52623,58034,4097,14141,6623,373,8,6,,,,
bihar ,Sitamarhi,Rural,707323,290535,314084,23638,73860,28844,2197,8,8,,,,
bihar ,Madhubani,Rural,1036255,303329,484558,53685,179416,68952,4572,12,7,,,,
bihar ,Supaul,Rural,450346,131813,204484,14921,82335,31714,1227,8,4,,,,
bihar ,Araria,Rural,653981,241600,259508,14232,114565,38308,1116,6,3,,,,
bihar ,Kishanganj,Rural,342315,143482,155168,5417,31457,12208,324,4,3,,,,
bihar ,Purnia,Rural,698007,283063,250334,15130,124844,39766,1283,7,4,,,,
bihar ,Katihar,Rural,604540,266786,233415,13465,76440,27899,1247,6,5,,,,
bihar ,Madhepura,Rural,422178,152124,165069,15344,78867,26118,1425,10,6,,,,
bihar ,Saharsa,Rural,331267,123005,145340,15040,46935,15987,1300,11,9,,,,
bihar ,Darbhanga,Rural,648140,224203,321427,33588,72877,29633,2543,11,9,,,,
bihar ,Muzaffarpur,Rural,799583,238781,425030,36655,82636,53136,4625,9,9,,,,
bihar ,Gopalganj,Rural,331700,82440,190955,15159,34922,23383,2035,8,9,,,,
bihar ,Siwan,Rural,424249,90049,278166,23773,30695,25339,2718,9,11,,,,
bihar ,Saran,Rural,478775,113873,302302,31004,36764,25836,2772,11,11,,,,
bihar ,Vaishali,Rural,664562,178319,398192,34180,50368,37683,3464,9,10,,,,
bihar ,Samastipur,Rural,871838,271010,470010,43012,86349,44469,4253,10,10,,,,
bihar ,Begusarai ,Rural,471889,140697,247313,22192,51555,32324,2569,9,8,,,,
bihar ,Khagaria,Rural,287022,100520,134539,10439,32608,19355,1056,8,6,,,,
bihar ,Bhagalpur ,Rural,396991,126895,205570,23888,38299,26227,2197,12,9,,,,
bihar ,Banka,Rural,358505,109089,172098,12631,51241,26077,1126,8,5,,,,
bihar ,Munger,Rural,158430,40005,92132,9776,15313,10980,740,11,7,,,,
bihar ,Lakhisarai,Rural,171380,50363,86291,6493,23166,11560,706,8,7,,,,
bihar ,Sheikhpura,Rural,125966,31335,59228,4366,23919,11484,378,8,4,,,,
bihar ,Nalanda,Rural,631235,147024,308619,33124,117234,58358,3528,11,7,,,,
bihar ,Patna,Rural,767098,191728,409356,47927,109766,56248,3392,12,7,,,,
bihar ,Bhojpur,Rural,433605,78521,285996,29527,38678,30410,1923,11,7,,,,
